t_epoch,t_rel,total_frames,window,dnd,idle,privacy,emergency,alert_active,primary_proc,secondary_proc,secondary_drop
1776533274.367,88.366,629660,idle,0,1,0,0,0,0,0,0
1776533275.377,89.366,629713,idle,0,1,0,0,0,0,0,0
1776533276.367,90.366,629765,idle,0,1,0,0,0,0,0,0
1776533277.367,91.366,629817,idle,0,1,0,0,0,0,0,0
1776533278.371,92.366,629870,idle,0,1,0,0,0,0,0,0
1776533279.381,93.366,629922,idle,0,1,0,0,0,0,0,0
1776533280.368,94.366,629974,idle,0,1,0,0,0,0,0,0
1776533281.373,95.366,630023,idle,0,1,0,0,0,0,0,0
1776533282.368,96.367,630075,idle,0,1,0,0,0,0,0,0
1776533283.367,97.366,630127,idle,0,1,0,0,0,0,0,0
1776533284.367,98.366,630180,idle,0,1,0,0,0,0,0,0
1776533285.368,99.367,630232,idle,0,1,0,0,0,0,0,0
1776533286.367,100.366,630284,idle,0,1,0,0,0,0,0,0
1776533287.370,101.368,630337,idle,0,1,0,0,0,0,0,0
1776533288.367,102.366,630389,idle,0,1,0,0,0,0,0,0
1776533289.367,103.367,630441,idle,0,1,0,0,0,0,0,0
1776533290.370,104.366,630494,idle,0,1,0,0,0,0,0,0
1776533291.367,105.366,630546,idle,0,1,0,0,0,0,0,0
1776533292.370,106.367,630598,idle,0,1,0,0,0,0,0,0
1776533293.375,107.366,630651,idle,0,1,0,0,0,0,0,0
1776533294.370,108.366,630703,idle,0,1,0,0,0,0,0,0
1776533295.370,109.366,630755,idle,0,1,0,0,0,0,0,0
1776533296.367,110.366,630807,idle,0,1,0,0,0,0,0,0
1776533297.370,111.367,630860,idle,0,1,0,0,0,0,0,0
1776533298.368,112.366,630912,idle,0,1,0,0,0,0,0,0
1776533299.367,113.366,630964,idle,0,1,0,0,0,0,0,0
1776533300.366,114.366,631017,idle,0,1,0,0,0,0,0,0
1776533301.367,115.366,631069,idle,0,1,0,0,0,0,0,0
1776533302.368,116.366,631121,idle,0,1,0,0,0,0,0,0
1776533303.369,117.366,631174,idle,0,1,0,0,0,0,0,0
1776533304.369,118.368,631226,idle,0,1,0,0,0,0,0,0
1776533305.369,119.366,631278,idle,0,1,0,0,0,0,0,0
1776533306.366,120.366,631330,idle,0,1,0,0,0,0,0,0
1776533307.369,121.366,631383,idle,0,1,0,0,0,0,0,0
1776533308.368,122.366,631435,idle,0,1,0,0,0,0,0,0
1776533309.366,123.366,631487,idle,0,1,0,0,0,0,0,0
1776533310.369,124.366,631540,idle,0,1,0,0,0,0,0,0
1776533311.367,125.366,631592,idle,0,1,0,0,0,0,0,0
1776533312.372,126.366,631645,idle,0,1,0,0,0,0,0,0
1776533313.368,127.366,631697,idle,0,1,0,0,0,0,0,0
1776533314.367,128.366,631749,idle,0,1,0,0,0,0,0,0
1776533315.368,129.366,631801,idle,0,1,0,0,0,0,0,0
1776533316.371,130.366,631854,idle,0,1,0,0,0,0,0,0
1776533317.367,131.366,631906,idle,0,1,0,0,0,0,0,0
1776533318.368,132.366,631958,idle,0,1,0,0,0,0,0,0
1776533319.373,133.368,632011,idle,0,1,0,0,0,0,0,0
1776533320.367,134.367,632063,idle,0,1,0,0,0,0,0,0
1776533321.369,135.366,632115,idle,0,1,0,0,0,0,0,0
1776533322.368,136.366,632168,idle,0,1,0,0,0,0,0,0
1776533323.370,137.366,632220,idle,0,1,0,0,0,0,0,0
1776533324.367,138.366,632272,idle,0,1,0,0,0,0,0,0
1776533325.366,139.366,632324,idle,0,1,0,0,0,0,0,0
1776533326.367,140.366,632377,idle,0,1,0,0,0,0,0,0
1776533327.367,141.366,632429,idle,0,1,0,0,0,0,0,0
1776533328.368,142.366,632481,idle,0,1,0,0,0,0,0,0
1776533329.371,143.366,632534,idle,0,1,0,0,0,0,0,0
1776533330.368,144.366,632586,idle,0,1,0,0,0,0,0,0
1776533331.369,145.366,632638,idle,0,1,0,0,0,0,0,0
1776533332.371,146.366,632691,idle,0,1,0,0,0,0,0,0
1776533333.370,147.370,632743,idle,0,1,0,0,0,0,0,0
1776533334.369,148.366,632795,idle,0,1,0,0,0,0,0,0
1776533335.366,149.366,632847,idle,0,1,0,0,0,0,0,0
1776533336.367,150.366,632895,idle,0,1,0,0,0,0,0,0
1776533337.367,151.366,632942,idle,0,1,0,0,0,0,0,0
1776533338.368,152.366,632996,idle,0,1,0,0,0,0,0,0
1776533339.371,153.366,633051,idle,0,1,0,0,0,0,0,0
1776533340.367,154.366,633103,idle,0,1,0,0,0,0,0,0
1776533341.371,155.368,633156,idle,0,1,0,0,0,0,0,0
1776533342.368,156.366,633208,idle,0,1,0,0,0,0,0,0
1776533343.369,157.366,633260,idle,0,1,0,0,0,0,0,0
1776533344.370,158.367,633312,idle,0,1,0,0,0,0,0,0
1776533345.370,159.366,633364,idle,0,1,0,0,0,0,0,0
1776533346.367,160.366,633417,idle,0,1,0,0,0,0,0,0
