epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,834.28,1.31976,1.2864,1.41766,0.72383,0.6963,0.73316,0.507,1.30044,1.17801,1.41863,0.0273199,0.00910664,0.0273199,0.00910664,0.0273199,0.00910664,0.0273199,0.00910664
31,861.344,1.298,1.26091,1.38429,0.75565,0.64353,0.73534,0.5025,1.33015,1.20354,1.43054,0.0271381,0.00904604,0.0271381,0.00904604,0.0271381,0.00904604,0.0271381,0.00904604
32,888.548,1.2989,1.257,1.39386,0.72277,0.68122,0.74296,0.52382,1.2915,1.18538,1.40789,0.026951,0.00898367,0.026951,0.00898367,0.026951,0.00898367,0.026951,0.00898367
33,916.319,1.29753,1.23813,1.38065,0.7423,0.72487,0.74084,0.52419,1.28203,1.2037,1.40227,0.0267586,0.00891955,0.0267586,0.00891955,0.0267586,0.00891955,0.0267586,0.00891955
34,943.877,1.29896,1.23869,1.39204,0.78958,0.63733,0.73384,0.50026,1.29471,1.17061,1.4061,0.0265611,0.00885371,0.0265611,0.00885371,0.0265611,0.00885371,0.0265611,0.00885371
35,970.612,1.28486,1.22059,1.37974,0.72387,0.68467,0.73939,0.5279,1.26376,1.15031,1.38276,0.0263586,0.00878619,0.0263586,0.00878619,0.0263586,0.00878619,0.0263586,0.00878619
36,997.868,1.2719,1.20644,1.37288,0.81515,0.6724,0.76164,0.52616,1.29453,1.13731,1.41683,0.026151,0.00871701,0.026151,0.00871701,0.026151,0.00871701,0.026151,0.00871701
37,1024.89,1.26948,1.19417,1.36748,0.84622,0.66482,0.77205,0.53869,1.26164,1.13152,1.38455,0.0259386,0.0086462,0.0259386,0.0086462,0.0259386,0.0086462,0.0259386,0.0086462
38,1052.22,1.25711,1.17966,1.35979,0.78291,0.69612,0.75145,0.53555,1.2848,1.14685,1.39704,0.0257214,0.00857379,0.0257214,0.00857379,0.0257214,0.00857379,0.0257214,0.00857379
39,1079.81,1.25154,1.17858,1.36184,0.76774,0.70346,0.77243,0.54775,1.27068,1.12169,1.39289,0.0254995,0.00849982,0.0254995,0.00849982,0.0254995,0.00849982,0.0254995,0.00849982
40,1107.16,1.26357,1.17576,1.36439,0.82723,0.67682,0.76387,0.54573,1.28325,1.14534,1.40266,0.0252729,0.00842431,0.0252729,0.00842431,0.0252729,0.00842431,0.0252729,0.00842431
41,1133.82,1.25334,1.1591,1.35559,0.77879,0.7009,0.76401,0.53977,1.25736,1.11228,1.37819,0.0250419,0.00834731,0.0250419,0.00834731,0.0250419,0.00834731,0.0250419,0.00834731
42,1160.46,1.24102,1.14317,1.34657,0.74286,0.69981,0.76384,0.54491,1.25379,1.11408,1.38221,0.0248065,0.00826884,0.0248065,0.00826884,0.0248065,0.00826884,0.0248065,0.00826884
43,1187.55,1.2318,1.12518,1.34195,0.77836,0.6771,0.76576,0.5439,1.25901,1.10195,1.37535,0.0245668,0.00818893,0.0245668,0.00818893,0.0245668,0.00818893,0.0245668,0.00818893
