epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,49.3764,1.38301,1.81009,1.42796,0.65822,0.57132,0.59511,0.40517,1.28805,1.36792,1.3221,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699
2,91.7748,1.40032,1.57288,1.44816,0.61073,0.44415,0.4658,0.29722,1.41394,1.89394,1.46562,0.0199497,0.00664992,0.0199497,0.00664992,0.0199497,0.00664992,0.0199497,0.00664992
3,127.575,1.56164,1.79893,1.57641,0.35415,0.29426,0.26511,0.13865,1.78669,2.06988,1.78525,0.0299436,0.0099812,0.0299436,0.0099812,0.0299436,0.0099812,0.0299436,0.0099812
4,163.19,1.70374,2.05418,1.71171,0.28709,0.2158,0.20013,0.1095,1.75426,2.25205,1.82947,0.0299833,0.00999445,0.0299833,0.00999445,0.0299833,0.00999445,0.0299833,0.00999445
5,198.946,1.68868,2.03719,1.71523,0.5502,0.32864,0.34183,0.19047,1.70835,1.98008,1.7859,0.0299704,0.00999013,0.0299704,0.00999013,0.0299704,0.00999013,0.0299704,0.00999013
6,234.426,1.63825,1.96015,1.69335,0.67582,0.3088,0.36063,0.20252,1.70324,1.99734,1.77826,0.0299538,0.00998459,0.0299538,0.00998459,0.0299538,0.00998459,0.0299538,0.00998459
7,270.043,1.62508,1.91177,1.67605,0.49208,0.36838,0.3877,0.24767,1.63204,1.909,1.70763,0.0299334,0.00997781,0.0299334,0.00997781,0.0299334,0.00997781,0.0299334,0.00997781
8,305.659,1.57706,1.86436,1.64323,0.57117,0.50304,0.50468,0.31172,1.60234,1.7285,1.64944,0.0299094,0.00996981,0.0299094,0.00996981,0.0299094,0.00996981,0.0299094,0.00996981
9,341.551,1.55321,1.81841,1.63538,0.54713,0.43282,0.45759,0.28435,1.54849,1.73431,1.63341,0.0298817,0.00996058,0.0298817,0.00996058,0.0298817,0.00996058,0.0298817,0.00996058
10,377.037,1.54272,1.78464,1.62021,0.64551,0.37678,0.44195,0.2737,1.55371,1.70159,1.62885,0.0298504,0.00995012,0.0298504,0.00995012,0.0298504,0.00995012,0.0298504,0.00995012
11,412.775,1.51176,1.74185,1.59787,0.52446,0.43809,0.45442,0.29637,1.51627,1.70182,1.59731,0.0298153,0.00993845,0.0298153,0.00993845,0.0298153,0.00993845,0.0298153,0.00993845
12,448.567,1.50409,1.72407,1.59063,0.61748,0.57408,0.59638,0.37083,1.48315,1.53756,1.5756,0.0297767,0.00992555,0.0297767,0.00992555,0.0297767,0.00992555,0.0297767,0.00992555
13,484.257,1.47787,1.69447,1.57978,0.66371,0.51987,0.56078,0.37195,1.46754,1.55539,1.54543,0.0297343,0.00991145,0.0297343,0.00991145,0.0297343,0.00991145,0.0297343,0.00991145
