epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1151.88,0.91493,0.83826,1.20057,0.92048,0.72737,0.83097,0.56503,0.9017,0.71737,1.19343,0.000742625,0.000742625,0.000742625
43,1179.22,0.89387,0.80238,1.16742,0.82095,0.80231,0.80292,0.57147,0.87344,0.7234,1.16281,0.00073025,0.00073025,0.00073025
44,1206.54,0.88785,0.76907,1.16848,0.85125,0.80739,0.84008,0.59204,0.89833,0.69276,1.16292,0.000717875,0.000717875,0.000717875
45,1233.99,0.88069,0.80438,1.17587,0.87137,0.78043,0.84914,0.57706,0.87899,0.70164,1.1541,0.0007055,0.0007055,0.0007055
46,1261.39,0.84431,0.76859,1.12403,0.88471,0.78959,0.87414,0.58965,0.87426,0.64894,1.15119,0.000693125,0.000693125,0.000693125
47,1288.82,0.87786,0.7675,1.14821,0.84352,0.80186,0.86355,0.60396,0.84475,0.66707,1.1226,0.00068075,0.00068075,0.00068075
48,1316.37,0.84315,0.75448,1.14298,0.83197,0.86462,0.87861,0.60633,0.84044,0.63651,1.11778,0.000668375,0.000668375,0.000668375
49,1343.97,0.85437,0.77878,1.16321,0.87082,0.782,0.86222,0.59048,0.8619,0.65391,1.10571,0.000656,0.000656,0.000656
50,1371.26,0.86402,0.76732,1.17071,0.90303,0.78558,0.86079,0.60682,0.85964,0.68332,1.12846,0.000643625,0.000643625,0.000643625
51,1398.96,0.85266,0.75293,1.15338,0.87815,0.82077,0.86234,0.60574,0.85953,0.65266,1.1562,0.00063125,0.00063125,0.00063125
52,1426.38,0.83608,0.76796,1.14543,0.85704,0.78337,0.84036,0.59271,0.86362,0.67525,1.1447,0.000618875,0.000618875,0.000618875
53,1453.63,0.80717,0.72269,1.11373,0.8615,0.78997,0.84559,0.60488,0.84126,0.68136,1.13157,0.0006065,0.0006065,0.0006065
54,1480.98,0.87176,0.76568,1.15209,0.83985,0.83743,0.84637,0.60109,0.84137,0.65294,1.13583,0.000594125,0.000594125,0.000594125
55,1508.3,0.81094,0.72112,1.13332,0.84736,0.81458,0.85999,0.60206,0.87935,0.64022,1.17686,0.00058175,0.00058175,0.00058175
56,1535.69,0.80076,0.7278,1.12064,0.86726,0.81503,0.85983,0.62005,0.85615,0.60978,1.15847,0.000569375,0.000569375,0.000569375
57,28.0546,0.80219,0.73492,1.14903,0.87978,0.80658,0.86164,0.62485,0.81122,0.60236,1.1068,0.000557,0.000557,0.000557
58,55.6802,0.78971,0.68546,1.11232,0.8753,0.82395,0.86486,0.63955,0.80784,0.60049,1.12895,0.000544625,0.000544625,0.000544625
59,83.2681,0.78508,0.68798,1.10022,0.92043,0.80334,0.87644,0.63812,0.77729,0.61262,1.10509,0.00053225,0.00053225,0.00053225
60,110.623,0.76168,0.66888,1.09638,0.85239,0.80135,0.8525,0.61916,0.79272,0.59687,1.12035,0.000519875,0.000519875,0.000519875
61,138.034,0.76837,0.6873,1.1097,0.92381,0.80089,0.85739,0.62432,0.80188,0.61379,1.12428,0.0005075,0.0005075,0.0005075
62,165.376,0.7592,0.68015,1.08942,0.91279,0.82413,0.85896,0.61508,0.80933,0.60915,1.12123,0.000495125,0.000495125,0.000495125
63,192.698,0.76142,0.6559,1.10462,0.87334,0.85596,0.85601,0.62157,0.79906,0.57318,1.11868,0.00048275,0.00048275,0.00048275
64,220.011,0.75706,0.65229,1.09317,0.9096,0.82951,0.86484,0.61886,0.80068,0.5607,1.10809,0.000470375,0.000470375,0.000470375
65,247.364,0.76415,0.65014,1.09197,0.84607,0.83457,0.86707,0.64475,0.77919,0.56672,1.09489,0.000458,0.000458,0.000458
66,274.707,0.73386,0.6276,1.07642,0.93256,0.78038,0.8677,0.63995,0.79775,0.58808,1.1064,0.000445625,0.000445625,0.000445625
67,301.979,0.74455,0.6421,1.08049,0.88943,0.81186,0.87375,0.64671,0.78976,0.5688,1.12047,0.00043325,0.00043325,0.00043325
68,329.366,0.72886,0.62453,1.07355,0.92009,0.81743,0.87246,0.65078,0.78145,0.58345,1.11499,0.000420875,0.000420875,0.000420875
69,356.696,0.72732,0.60605,1.06966,0.90729,0.81432,0.86604,0.65932,0.75696,0.57495,1.09514,0.0004085,0.0004085,0.0004085
70,384.119,0.74153,0.61776,1.08739,0.88103,0.83296,0.88031,0.63581,0.77793,0.56145,1.10533,0.000396125,0.000396125,0.000396125
71,411.427,0.69834,0.61638,1.06713,0.87629,0.83348,0.87193,0.65216,0.77811,0.56059,1.11608,0.00038375,0.00038375,0.00038375
72,438.711,0.72339,0.58939,1.06945,0.91025,0.83527,0.88466,0.65573,0.78257,0.55407,1.11705,0.000371375,0.000371375,0.000371375
73,465.973,0.72178,0.59051,1.08245,0.85279,0.8395,0.8825,0.64798,0.77715,0.55774,1.10933,0.000359,0.000359,0.000359
74,493.246,0.72184,0.6138,1.0721,0.86893,0.8416,0.88644,0.65279,0.77325,0.55075,1.09037,0.000346625,0.000346625,0.000346625
75,520.495,0.70582,0.60159,1.07916,0.85533,0.85137,0.88367,0.65961,0.74645,0.54773,1.07036,0.00033425,0.00033425,0.00033425
76,547.913,0.67055,0.55785,1.04731,0.92921,0.82949,0.88681,0.65598,0.74296,0.53836,1.07949,0.000321875,0.000321875,0.000321875
77,575.262,0.65806,0.55811,1.03947,0.90687,0.8392,0.88094,0.65483,0.74102,0.52148,1.07948,0.0003095,0.0003095,0.0003095
78,602.56,0.6761,0.57376,1.06466,0.90428,0.83096,0.87063,0.65322,0.74222,0.54121,1.08262,0.000297125,0.000297125,0.000297125
79,629.922,0.67165,0.57325,1.04991,0.90628,0.81051,0.8724,0.64865,0.73442,0.54631,1.0803,0.00028475,0.00028475,0.00028475
80,657.215,0.64933,0.56026,1.03035,0.9044,0.81688,0.8798,0.64681,0.74211,0.54975,1.0849,0.000272375,0.000272375,0.000272375
81,684.596,0.66184,0.54893,1.03044,0.88014,0.82707,0.86693,0.64246,0.73484,0.54556,1.0885,0.00026,0.00026,0.00026
82,711.909,0.64902,0.5331,1.03116,0.9331,0.77352,0.86336,0.6442,0.7239,0.54693,1.07297,0.000247625,0.000247625,0.000247625
83,739.222,0.66566,0.56866,1.04596,0.92745,0.78311,0.87085,0.64271,0.73059,0.54,1.0852,0.00023525,0.00023525,0.00023525
84,766.615,0.65223,0.52997,1.04598,0.91107,0.83142,0.87731,0.65506,0.73947,0.52121,1.09933,0.000222875,0.000222875,0.000222875
85,793.982,0.65128,0.5587,1.03447,0.93095,0.82977,0.88229,0.65087,0.74175,0.537,1.08506,0.0002105,0.0002105,0.0002105
86,821.231,0.61839,0.52066,1.00752,0.90732,0.83011,0.88541,0.6637,0.72741,0.52662,1.07536,0.000198125,0.000198125,0.000198125
87,848.629,0.63349,0.53045,1.02169,0.89611,0.84694,0.8826,0.66206,0.71325,0.52319,1.06093,0.00018575,0.00018575,0.00018575
88,876.001,0.63933,0.52889,1.03703,0.90633,0.8455,0.89032,0.66513,0.69986,0.52269,1.06222,0.000173375,0.000173375,0.000173375
89,903.425,0.6452,0.53585,1.03154,0.91071,0.83971,0.8924,0.66443,0.71855,0.52977,1.07908,0.000161,0.000161,0.000161
90,930.764,0.61868,0.50475,1.02368,0.90896,0.84852,0.89238,0.65568,0.73241,0.51855,1.08277,0.000148625,0.000148625,0.000148625
91,957.656,0.50418,0.39388,0.93325,0.94268,0.8437,0.89639,0.65268,0.72145,0.51981,1.06838,0.00013625,0.00013625,0.00013625
92,984.579,0.49587,0.37133,0.94467,0.94729,0.82471,0.89413,0.66013,0.7175,0.5239,1.08201,0.000123875,0.000123875,0.000123875
93,1011.52,0.48876,0.37047,0.92673,0.89933,0.855,0.89433,0.6638,0.70837,0.52026,1.07486,0.0001115,0.0001115,0.0001115
94,1038.39,0.49243,0.37417,0.92248,0.94209,0.82614,0.89714,0.66736,0.70386,0.50343,1.06127,9.9125e-05,9.9125e-05,9.9125e-05
95,1065.33,0.47208,0.36065,0.9146,0.93465,0.83868,0.89638,0.66868,0.7019,0.50473,1.06777,8.675e-05,8.675e-05,8.675e-05
96,1092.42,0.46012,0.35186,0.90901,0.91322,0.85998,0.8941,0.6611,0.70913,0.51664,1.07418,7.4375e-05,7.4375e-05,7.4375e-05
97,1119.32,0.45985,0.35619,0.91518,0.9186,0.85483,0.8956,0.66527,0.70831,0.51158,1.0755,6.2e-05,6.2e-05,6.2e-05
98,1146.21,0.44785,0.34192,0.89923,0.92301,0.85547,0.8969,0.66418,0.70743,0.51093,1.07436,4.9625e-05,4.9625e-05,4.9625e-05
99,1173.22,0.45298,0.33983,0.9084,0.88944,0.86058,0.88859,0.66133,0.70421,0.5121,1.07132,3.725e-05,3.725e-05,3.725e-05
100,1200.13,0.44313,0.33307,0.90977,0.90045,0.8457,0.8894,0.66376,0.7036,0.51345,1.07068,2.4875e-05,2.4875e-05,2.4875e-05
